time 	 AmpX 	 AmpY 	 PhaX 	 PhaY 	 Pha_PH
0.4286 	 8.0878 	 8.0607 	 109.4371 	 17.1258 	 109.1840
0.8571 	 8.0878 	 8.0607 	 109.4391 	 17.1278 	 109.1859
1.2857 	 8.5468 	 8.5228 	 109.8156 	 17.5170 	 109.6932
1.7143 	 8.9249 	 8.8664 	 109.3187 	 16.9193 	 109.2714
2.1429 	 9.1762 	 9.1292 	 109.2848 	 16.6736 	 109.0365
2.5714 	 9.4179 	 9.3724 	 109.2126 	 16.4521 	 108.9474
3.0000 	 9.7029 	 9.6241 	 109.0818 	 16.4651 	 108.8864
3.4286 	 9.8923 	 9.8236 	 109.0023 	 16.2385 	 108.9346
3.8571 	 10.0756 	 9.9888 	 108.8538 	 15.8554 	 108.6389
4.2857 	 10.2132 	 10.1315 	 108.9483 	 15.9163 	 108.7174
4.7143 	 10.3866 	 10.3008 	 109.1926 	 16.1086 	 109.1147
5.1429 	 10.5435 	 10.4416 	 109.1450 	 16.0305 	 109.0927
5.5714 	 10.6588 	 10.5829 	 109.2406 	 16.0040 	 108.9711
6.0000 	 10.7355 	 10.6807 	 109.3442 	 16.0719 	 109.0351
6.4286 	 10.8649 	 10.7987 	 109.4672 	 16.1721 	 109.1698
6.8571 	 10.9756 	 10.9149 	 109.5834 	 16.2047 	 109.4142
7.2857 	 11.1404 	 11.0700 	 109.5478 	 16.2355 	 109.2508
7.7143 	 11.2524 	 11.1651 	 109.3799 	 16.0796 	 109.1123
8.1429 	 11.3339 	 11.2691 	 109.6062 	 16.1302 	 109.4307
8.5714 	 11.4658 	 11.3918 	 109.7040 	 16.2208 	 109.3892
9.0000 	 11.5443 	 11.4872 	 109.8221 	 16.3093 	 109.4756
9.4286 	 11.6510 	 11.5897 	 109.7779 	 16.2239 	 109.5815
9.8571 	 11.7627 	 11.6860 	 110.0179 	 16.6027 	 109.8500
10.2857 	 11.8604 	 11.7782 	 110.0914 	 16.6941 	 109.7812
10.7143 	 11.9591 	 11.8674 	 110.0843 	 16.7619 	 109.9468
11.1429 	 12.0271 	 11.9407 	 110.0551 	 16.7132 	 109.7559
11.5714 	 12.1043 	 12.0128 	 110.1365 	 16.7500 	 109.8375
12.0000 	 12.2100 	 12.1022 	 110.2206 	 16.8902 	 110.0997
12.4286 	 12.2475 	 12.1481 	 110.3959 	 17.1353 	 110.1118
12.8571 	 12.3331 	 12.2216 	 110.2956 	 16.9880 	 110.1787
13.2857 	 12.3834 	 12.2786 	 110.3916 	 17.1166 	 110.2644
13.7143 	 12.4679 	 12.3554 	 110.3759 	 17.0936 	 110.2589
14.1429 	 12.5326 	 12.4227 	 110.4135 	 17.1444 	 110.2922
14.5714 	 12.6120 	 12.4944 	 110.4204 	 17.1459 	 110.1546
15.0000 	 12.6834 	 12.5628 	 110.4436 	 17.1815 	 110.1820
15.4286 	 12.7645 	 12.6393 	 110.4196 	 17.1863 	 110.1670
15.8571 	 12.8341 	 12.7084 	 110.4360 	 17.2204 	 110.1845
16.2857 	 12.9162 	 12.7852 	 110.4153 	 17.2349 	 110.3309
