time 	 DTRot 	 PhaPC 	 PhaPHPC	T1Rot 	 T2Rot 	 T3Rot 	 T4Rot 	 T5Rot 	 TmoyRot
0.4286 	 3.9569 	 39.2500 	 -69.9340 	   32.7758 	 31.5030 	 29.0251 	 29.3780 	 31.4010 	 30.8166
0.8571 	 3.8804 	 35.7500 	 -73.4359 	   34.3456 	 33.0389 	 30.6794 	 30.9029 	 32.9711 	 32.3876
1.2857 	 4.5675 	 39.0000 	 -70.6932 	   36.3835 	 34.9319 	 32.1045 	 32.3044 	 34.7294 	 34.0908
1.7143 	 4.8825 	 38.5000 	 -70.7714 	   37.8901 	 36.3530 	 33.3429 	 33.5040 	 36.0988 	 35.4377
2.1429 	 5.1357 	 39.7500 	 -69.2865 	   39.1835 	 37.6098 	 34.4327 	 34.5340 	 37.2566 	 36.6033
2.5714 	 5.3397 	 40.7500 	 -68.1974 	   40.3011 	 38.7082 	 35.3949 	 35.4367 	 38.2613 	 37.6204
3.0000 	 5.5304 	 42.2500 	 -66.6364 	   41.2903 	 39.7032 	 36.2517 	 36.2225 	 39.1292 	 38.5194
3.4286 	 5.6706 	 43.5000 	 -65.4346 	   42.1627 	 40.5910 	 37.0461 	 36.9399 	 39.8965 	 39.3272
3.8571 	 5.6995 	 43.5000 	 -65.1389 	   42.9027 	 41.3298 	 37.7577 	 37.6463 	 40.6246 	 40.0522
4.2857 	 5.7548 	 44.7500 	 -63.9674 	   43.5852 	 42.0495 	 38.4305 	 38.2596 	 41.2467 	 40.7143
4.7143 	 5.7941 	 45.7500 	 -63.3647 	   44.2021 	 42.7073 	 39.0487 	 38.8189 	 41.8086 	 41.3171
5.1429 	 5.8324 	 47.0000 	 -62.0927 	   44.7622 	 43.3080 	 39.6257 	 39.3317 	 42.3198 	 41.8695
5.5714 	 5.8465 	 48.0000 	 -60.9711 	   45.2721 	 43.8624 	 40.1579 	 39.8136 	 42.7866 	 42.3785
6.0000 	 5.8493 	 49.0000 	 -60.0351 	   45.7313 	 44.3678 	 40.6584 	 40.2585 	 43.2095 	 42.8451
6.4286 	 5.8581 	 50.0000 	 -59.1698 	   46.1628 	 44.8485 	 41.1236 	 40.6695 	 43.6005 	 43.2810
6.8571 	 5.8627 	 51.0000 	 -58.4142 	   46.5611 	 45.2945 	 41.5604 	 41.0523 	 43.9623 	 43.6861
7.2857 	 5.9052 	 52.0000 	 -57.2508 	   46.9445 	 45.7284 	 41.9684 	 41.3736 	 44.2820 	 44.0594
7.7143 	 5.9220 	 52.7500 	 -56.3623 	   47.2963 	 46.1204 	 42.3434 	 41.7035 	 44.5948 	 44.4117
8.1429 	 5.9366 	 54.0000 	 -55.4307 	   47.6238 	 46.5005 	 42.7109 	 42.0152 	 44.8834 	 44.7468
8.5714 	 5.9557 	 54.7500 	 -54.6392 	   47.9323 	 46.8573 	 43.0539 	 42.2970 	 45.1451 	 45.0571
9.0000 	 5.9617 	 55.5000 	 -53.9756 	   48.2208 	 47.1890 	 43.3809 	 42.5801 	 45.4058 	 45.3553
9.4286 	 5.9826 	 56.2500 	 -53.3315 	   48.4981 	 47.5070 	 43.6888 	 42.8332 	 45.6460 	 45.6346
9.8571 	 5.9995 	 57.2500 	 -52.6000 	   48.7557 	 47.8120 	 43.9871 	 43.0713 	 45.8682 	 45.8989
10.2857 	 6.0099 	 57.7500 	 -52.0312 	   49.0018 	 48.0924 	 44.2677 	 43.3056 	 46.0849 	 46.1505
10.7143 	 6.0256 	 58.7500 	 -51.1968 	   49.2377 	 48.3701 	 44.5351 	 43.5268 	 46.2906 	 46.3921
11.1429 	 6.0301 	 59.0000 	 -50.7559 	   49.4600 	 48.6181 	 44.7905 	 43.7444 	 46.4903 	 46.6207
11.5714 	 6.0431 	 59.7500 	 -50.0875 	   49.6736 	 48.8706 	 45.0369 	 43.9499 	 46.6766 	 46.8415
12.0000 	 6.0581 	 60.2500 	 -49.8497 	   49.8801 	 49.1083 	 45.2721 	 44.1436 	 46.8552 	 47.0518
12.4286 	 6.0529 	 61.2500 	 -48.8618 	   50.0251 	 49.3015 	 45.4772 	 44.2973 	 46.9749 	 47.2152
12.8571 	 6.0718 	 61.5000 	 -48.6787 	   50.2211 	 49.5125 	 45.6820 	 44.4764 	 47.1484 	 47.4081
13.2857 	 6.0835 	 62.2500 	 -48.0144 	   50.3838 	 49.7153 	 45.8859 	 44.6336 	 47.2876 	 47.5812
13.7143 	 6.0894 	 62.5000 	 -47.7589 	   50.5604 	 49.9104 	 46.0766 	 44.8056 	 47.4425 	 47.7591
14.1429 	 6.0995 	 63.0000 	 -47.2922 	   50.7214 	 50.0993 	 46.2661 	 44.9618 	 47.5835 	 47.9264
14.5714 	 6.1121 	 63.2500 	 -46.9046 	   50.8855 	 50.2822 	 46.4458 	 45.1164 	 47.7272 	 48.0914
15.0000 	 6.1245 	 63.7500 	 -46.4320 	   51.0413 	 50.4598 	 46.6211 	 45.2645 	 47.8637 	 48.2501
15.4286 	 6.1406 	 64.0000 	 -46.1670 	   51.1973 	 50.6328 	 46.7888 	 45.4083 	 47.9998 	 48.4054
15.8571 	 6.1545 	 64.5000 	 -45.6845 	   51.3465 	 50.8006 	 46.9526 	 45.5481 	 48.1311 	 48.5558
16.2857 	 6.1727 	 64.7500 	 -45.5809 	   51.4954 	 50.9650 	 47.1099 	 45.6833 	 48.2610 	 48.7029
16.7143 	 6.1880 	 65.0000 	 -45.3456 	   51.6385 	 51.1245 	 47.2641 	 45.8153 	 48.3867 	 48.8458
17.1429 	 6.2202 	 65.2500 	 -45.0435 	   51.7844 	 51.2812 	 47.4104 	 45.9343 	 48.5086 	 48.9838
17.5714 	 6.2356 	 65.5000 	 -44.7957 	   51.9206 	 51.4314 	 47.5548 	 46.0586 	 48.6293 	 49.1190
18.0000 	 6.2556 	 65.7500 	 -44.3704 	   52.0572 	 51.5787 	 47.6947 	 46.1795 	 48.7488 	 49.2518
