time 	 AmpX 	 AmpY 	 PhaX 	 PhaY 	 Pha_PH
0.8571 	 9.5184 	 9.1256 	 194.3352 	 102.4563 	 191.9673
1.7143 	 9.5184 	 9.1256 	 194.3372 	 102.4583 	 191.9693
2.5714 	 9.8182 	 9.4175 	 194.1806 	 102.1673 	 191.8609
3.4286 	 10.2523 	 9.8326 	 193.3654 	 101.1740 	 190.7319
4.2857 	 10.5699 	 10.1365 	 192.9279 	 100.6355 	 190.2096
5.1429 	 10.8639 	 10.4198 	 192.7555 	 100.3407 	 190.0950
6.0000 	 11.1071 	 10.6619 	 192.7229 	 100.1824 	 189.9552
6.8571 	 11.3729 	 10.9072 	 192.7921 	 100.2015 	 189.9670
7.7143 	 11.5920 	 11.1288 	 192.9297 	 100.2866 	 190.0644
8.5714 	 11.8522 	 11.3644 	 193.0213 	 100.4250 	 190.1836
9.4286 	 12.0637 	 11.5681 	 193.0474 	 100.4705 	 190.2281
10.2857 	 12.2802 	 11.7659 	 193.0237 	 100.4728 	 190.0501
11.1429 	 12.4958 	 11.9690 	 192.9614 	 100.4545 	 190.0275
12.0000 	 12.7124 	 12.1717 	 192.8635 	 100.4381 	 190.0066
12.8571 	 12.9335 	 12.3739 	 192.7485 	 100.4159 	 190.1384
13.7143 	 13.1570 	 12.5760 	 192.6364 	 100.3779 	 190.0871
14.5714 	 13.3700 	 12.7673 	 192.5326 	 100.3332 	 190.0298
15.4286 	 13.5725 	 12.9536 	 192.4416 	 100.2883 	 189.8254
16.2857 	 13.7683 	 13.1377 	 192.3472 	 100.2494 	 189.9351
17.1429 	 13.9616 	 13.3194 	 192.2422 	 100.2269 	 189.7589
18.0000 	 14.1543 	 13.4945 	 192.1389 	 100.2082 	 189.7338
18.8571 	 14.3355 	 13.6609 	 192.0458 	 100.1651 	 189.8283
19.7143 	 14.5058 	 13.8192 	 191.9492 	 100.1107 	 189.6314
20.5714 	 14.6711 	 13.9746 	 191.8444 	 100.0580 	 189.7151
21.4286 	 14.8349 	 14.1294 	 191.7251 	 100.0030 	 189.5233
22.2857 	 14.9930 	 14.2782 	 191.6016 	 99.9338 	 189.5868
23.1429 	 15.1459 	 14.4201 	 191.4743 	 99.8522 	 189.3732
24.0000 	 15.2943 	 14.5585 	 191.3456 	 99.7586 	 189.4087
24.8571 	 15.4391 	 14.6947 	 191.2125 	 99.6606 	 189.1859
25.7143 	 15.5819 	 14.8300 	 191.0767 	 99.5631 	 189.0903
26.5714 	 15.7243 	 14.9643 	 190.9308 	 99.4631 	 189.1159
27.4286 	 15.8661 	 15.0963 	 190.7823 	 99.3602 	 188.8923
28.2857 	 16.0051 	 15.2255 	 190.6407 	 99.2550 	 188.9074
29.1429 	 16.1408 	 15.3528 	 190.5092 	 99.1518 	 188.6897
30.0000 	 16.2731 	 15.4789 	 190.3810 	 99.0528 	 188.7083
30.8571 	 16.4032 	 15.6025 	 190.2521 	 98.9619 	 188.5078
31.7143 	 16.5324 	 15.7239 	 190.1228 	 98.8744 	 188.5315
32.5714 	 16.6600 	 15.8440 	 190.0087 	 98.7917 	 188.4506
33.4286 	 16.7834 	 15.9618 	 189.9001 	 98.7107 	 188.2654
34.2857 	 16.9038 	 16.0773 	 189.7947 	 98.6337 	 188.2960
35.1429 	 16.9826 	 16.1435 	 189.8586 	 98.6567 	 188.2100
36.0000 	 17.0800 	 16.2442 	 189.6586 	 98.5412 	 188.1037
36.8571 	 17.2238 	 16.3845 	 189.5409 	 98.4636 	 188.0301
37.7143 	 17.3087 	 16.4594 	 189.5726 	 98.4629 	 188.0273
38.5714 	 17.4042 	 16.5536 	 189.3920 	 98.3524 	 188.0212
39.4286 	 17.5036 	 16.6486 	 189.3885 	 98.3321 	 188.0024
40.2857 	 17.6045 	 16.7432 	 189.2237 	 98.2238 	 187.7993
41.1429 	 17.7056 	 16.8406 	 189.1833 	 98.1839 	 187.8565
42.0000 	 17.8057 	 16.9345 	 189.0454 	 98.0860 	 187.7613
42.8571 	 17.9056 	 17.0311 	 188.9767 	 98.0268 	 187.6129
