time 	 DTRot 	 PhaPC 	 PhaPHPC	T1Rot 	 T2Rot 	 T3Rot 	 T4Rot 	 T5Rot 	 TmoyRot
0.8571 	 4.6661 	 137.7500 	 -54.2173 	   29.4382 	 31.8202 	 31.5603 	 28.5145 	 27.6179 	 29.7902
1.7143 	 4.3219 	 126.2500 	 -65.7193 	   31.6975 	 33.4180 	 32.8162 	 30.1825 	 29.3933 	 31.5015
2.5714 	 4.8342 	 135.0000 	 -56.8609 	   33.4601 	 35.5460 	 35.1729 	 32.0811 	 31.1593 	 33.4839
3.4286 	 4.9306 	 132.0000 	 -58.7319 	   34.9921 	 37.0715 	 36.5856 	 33.5178 	 32.5410 	 34.9416
4.2857 	 4.9751 	 135.5000 	 -54.7096 	   36.1409 	 38.2249 	 37.8705 	 34.7216 	 33.7007 	 36.1317
5.1429 	 4.9972 	 136.0000 	 -54.0950 	   37.0804 	 39.2152 	 38.8871 	 35.7484 	 34.6651 	 37.1192
6.0000 	 4.9704 	 138.2500 	 -51.7052 	   37.8663 	 39.9978 	 39.7604 	 36.6387 	 35.4915 	 37.9510
6.8571 	 4.9531 	 139.7500 	 -50.2170 	   38.5318 	 40.6978 	 40.5242 	 37.4279 	 36.2133 	 38.6790
7.7143 	 4.9197 	 141.2500 	 -48.8144 	   39.1030 	 41.2857 	 41.1827 	 38.1266 	 36.8378 	 39.3072
8.5714 	 4.9071 	 142.7500 	 -47.4336 	   39.6132 	 41.8229 	 41.7830 	 38.7536 	 37.3978 	 39.8741
9.4286 	 4.8892 	 144.0000 	 -46.2281 	   40.0650 	 42.2978 	 42.3111 	 39.3175 	 37.8951 	 40.3773
10.2857 	 4.8821 	 145.2500 	 -44.8001 	   40.4790 	 42.7344 	 42.7977 	 39.8299 	 38.3473 	 40.8377
11.1429 	 4.8823 	 146.0000 	 -44.0275 	   40.8592 	 43.1393 	 43.2449 	 40.2976 	 38.7606 	 41.2603
12.0000 	 4.8899 	 147.0000 	 -43.0066 	   41.2129 	 43.5185 	 43.6615 	 40.7273 	 39.1416 	 41.6524
